example_id,tweet_id,author_id,created_at,text,intent,severity,expected_action,label_notes
1,2449675,702091,2017-11-15 02:32:44+00:00,You fuckers really don’t deliver to Stead huh @115877,service_availability,medium,provide_information,Customer is asking whether Uber delivers to a specific location.
3,1695489,514385,2017-10-17 15:20:37+00:00,@115877 My order never showed up - driver didn't text or call or anything. Just seemed to drive down the street my office is on then away.,trip_issue,high,investigate_trip,Customer reports an order that was not delivered and a driver who left without completing the delivery.
4,120742,142849,2017-11-23 22:56:43+00:00,Hey @Uber_Support. I need help with my account. Please DM,account_access,medium,resolve_account,Customer requests help with their account.
5,908288,335699,2017-10-13 16:20:47+00:00,@Uber_Support I cannot log into my account. I have tried resetting my password but still cannot get in. Help.,account_access,medium,resolve_account,Customer cannot log in even after attempting a password reset.
6,2241527,653546,2017-10-29 05:18:10+00:00,@115873 why i have to pay amount for the ride cancelled by driver...,billing_payment,medium,explain_charge,Customer questions a charge for a ride cancelled by the driver.
7,1374188,439851,2017-10-28 00:46:16+00:00,@56924 @115873 Dudes name is George,driver_issue,low,contact_driver,Customer is providing or discussing the driver’s identifying information.
8,2480202,410897,2017-10-29 21:25:16+00:00,@Uber_Support @Uber_Support this male has my items. Please help. https://t.co/dcx6xFU6Ek,lost_item,high,recover_lost_item,Customer says another person has their belongings and asks support for help.
10,2879016,178144,2017-11-28 07:53:50+00:00,@Uber_Support Hi Uber! Why UberX is not showing on my app? https://t.co/vwubri4HgU,service_availability,medium,provide_information,Customer asks why UberX is unavailable in the app.
11,2019772,597279,2017-11-05 00:58:23+00:00,"Not impressed with @115877 once again. Had an item messed up and their response is either auto or tells me to ""just buy another one"". Wtf😠",trip_issue,medium,investigate_trip,Customer reports an item in an order was messed up and support did not resolve it.
12,790767,308566,2017-10-08 19:19:30+00:00,@Uber_Support NOT ENOUGH! TRY AGAIN. YOUVE DONE THIS ENOUGH.,general_question,low,provide_information,Customer is dissatisfied with a previous support response but gives no specific issue.
13,505961,236060,2017-12-01 20:59:41+00:00,"Yo @115873 @119720 if you tell me a driver is 7 min then I confirm and it's 24, how are you going to charge me to cancel? This is some horse shit.",fare_pricing,medium,explain_charge,Customer disputes being charged a cancellation fee after a driver arrival-time discrepancy.
16,2082696,289666,2017-10-10 19:49:22+00:00,".@116276 Now this? “Having reviewed your concern, and your rider account, I can confirm that the refund of $10.00 for the ride pass…”",refund_request,medium,process_refund,Customer is discussing a previously issued refund and wants further support.
17,2444259,700852,2017-11-15 00:19:49+00:00,@Uber_Support Do you have a number we can call at all?,general_question,low,provide_information,Customer asks how to contact Uber by phone.
19,1810317,543870,2017-10-18 02:08:40+00:00,When the @115873 driver you booked tries to threaten to suspend your account because you won't cancel even though she was the one who asked 😶,driver_issue,high,contact_driver,Customer reports a driver pressuring them to cancel the ride.
20,1123896,316280,2017-10-15 08:49:46+00:00,"@115877 made me wait over an hour for my food, and it never showed... driver marked it as delivered anyway smh",trip_issue,high,investigate_trip,Customer reports food was not delivered although the driver marked it delivered.
23,2441949,696290,2017-11-16 15:37:17+00:00,@Uber_Support Check DM,general_question,low,provide_information,Customer is following up through a direct message.
24,1722944,221162,2017-11-07 14:45:03+00:00,@Uber_Support Ok but can i still drive after 8 months?,general_question,low,provide_information,Customer asks about eligibility to drive after eight months.
25,698095,266287,2017-10-10 18:49:42+00:00,"@115873 fix the damn app, it keeps zooming out during your precious #uberpool trips https://t.co/ryOso3wItr",app_technical_issue,medium,troubleshoot,Customer reports the Uber app repeatedly zooming out during trips.
26,1332899,430942,2017-10-27 13:08:55+00:00,Don’t use @115873 while visiting Disney World. Every single driver will take you the long way and to the wrong gate to ensure maximum faire.,driver_issue,medium,contact_driver,Customer reports drivers taking incorrect routes and gates.
27,345325,198171,2017-10-08 02:21:01+00:00,completely forgot about the nightmare @115873 drivers we had last night! One SO drunk we made him pull over on a busy parkway to let us out..,safety_issue,critical,escalate_safety,Customer reports a drunk driver who had to be stopped during a ride.
28,759705,301525,2017-10-07 10:09:37+00:00,"@Uber_Support @301524 He not snitchin, she a baddie",other,low,other,The message does not contain a clear support issue.
29,520843,240241,2017-12-02 03:05:59+00:00,@Uber_Support Already did. You refunded my fare but I’d like to actually speak with someone.,refund_request,medium,process_refund,Customer confirms a fare refund but still wants to speak with support.
30,120687,142835,2017-11-23 23:27:31+00:00,@Uber_Support Ty for ur understanding 😊,general_question,low,provide_information,Customer is simply acknowledging support assistance.
31,2645681,746441,2017-11-17 20:01:56+00:00,@Uber_Support Help! I just placed my first uber eats order and it wouldn't accept my student discount code despite the printed code being valid until 31/12/17. Your system said it had expired! How can I reclaim this discount?,promotion_offer,medium,provide_information,Customer reports that a valid student discount code is being rejected.
32,2855822,213509,2017-11-27 20:58:53+00:00,@Uber_Support i keep getting an error message when I'm trying to request an uber,app_technical_issue,medium,troubleshoot,Customer receives an error when trying to request a ride.
33,2208028,645512,2017-11-10 01:13:14+00:00,"Engine light, tire light, gas light. @115873, your driver hit the “get out of the car” trinity. Take a bow! https://t.co/ubA0Fx2Dzi",driver_issue,high,contact_driver,Customer reports serious vehicle-condition concerns during a ride.
34,1912864,569787,2017-10-29 14:00:48+00:00,@Uber_Support I did.,general_question,low,provide_information,The message only confirms a previous support instruction.
35,735770,296009,2017-10-29 06:23:48+00:00,@Uber_Support Rec’d email. Requested I rate/detail driver abt exp? Already did that prior to contacting you guys. Your help isn’t helpful. Disappointing!,general_question,low,provide_information,Customer says requested information was already provided and is dissatisfied with support follow-up.
36,507323,236451,2017-12-01 21:53:50+00:00,"@Uber_Support Sent, thank you!",general_question,low,provide_information,Customer confirms that they sent the requested information.
37,755828,300658,2017-10-11 18:20:18+00:00,@115873 where is the driver profile picture?? How to recognise is this the professional driver or the fake? How to trust?? https://t.co/OsCmfBxh20,driver_issue,medium,provide_information,Customer asks how to identify and trust the assigned driver.
39,2513961,716346,2017-10-30 07:32:32+00:00,Why is my UberEATS verification code not in yet 😭,app_technical_issue,medium,troubleshoot,Customer has not received an Uber Eats verification code.
40,1496089,467358,2017-11-03 12:12:59+00:00,@Uber_Support I already sent a damaged report. They want to refund one item. I told them i should not pay for delivery but they don't care. Bad service,refund_request,medium,process_refund,Customer disputes the proposed partial refund and delivery charge for a damaged order.
41,1863888,556894,2017-10-20 13:47:25+00:00,@Uber_Support Would do but what's important is that this should be told to every driver please.,driver_issue,medium,contact_driver,Customer asks support to communicate an issue to drivers generally.
42,1721751,144999,2017-11-07 08:12:02+00:00,@Uber_Support Thanks!,general_question,low,provide_information,Customer is thanking support.
43,1831830,549627,2017-11-25 22:09:19+00:00,"@116276 Okay this is about my UBER fuel card but since you do NOT have a help page we MUST pick a ride to ask for help which make no sense to me. If you look at these two screenshots you will see that each time, i used UBER fuel card instead of getting a discount I was overbilled https://t.co/Yz3lbGZeTT",billing_payment,medium,explain_charge,Customer reports being overbilled when using an Uber fuel card.
44,2375477,685210,2017-11-14 02:35:30+00:00,@Uber_Support i’ve been trying to download uber and it says something about being disabled 🤔,app_technical_issue,medium,troubleshoot,Customer reports a problem downloading or installing the Uber app.
45,2434707,698625,2017-10-29 13:53:13+00:00,@115873 I left my keys in my uber last night and seems to be impossible to contact them been trying since 9:30 last night,lost_item,high,recover_lost_item,Customer left keys in an Uber and cannot contact the driver.
46,2811823,784071,2017-11-22 08:03:11+00:00,"My @115873 driver got off on the wrong exit against the GPS instructions 3 times, refused to play music, &amp; fell a sleep whilst driving.. then had the nerve to ASK for a tip.",safety_issue,critical,escalate_safety,"Customer reports dangerous driving, including falling asleep while driving."
47,2409024,692708,2017-11-14 14:11:27+00:00,@148768 @115877 sort it out!!! Imagine all that hype only for the app to crash #dead,app_technical_issue,medium,troubleshoot,Customer reports the app crashing.
48,1605697,492551,2017-11-05 17:17:31+00:00,"@Uber_Support Ah, good to hear 😀! Also, whoops, meant location***",general_question,low,provide_information,Customer is clarifying a previous message without a new support issue.
50,718589,279950,2017-11-25 08:43:45+00:00,@Uber_Support Is there a number to which I can call?,general_question,low,provide_information,Customer asks whether Uber has a phone number for support.
52,1592909,489576,2017-11-05 04:20:52+00:00,@Uber_Support @115873 @Uber_Support Thanks a ton Uber team. Never expected such a quick response and resolution... great job 😊,general_question,low,provide_information,Customer thanks support for a quick response and resolution.
54,2799547,781065,2017-11-21 23:30:32+00:00,@Uber_Support how do I report a driver that is not going to pick me up since is getting far away and I cannot cancel it because I will be charged,cancellation,medium,cancel_trip,Customer asks how to report a driver who will not pick them up and how to cancel without a fee.
56,1232374,409031,2017-10-25 23:48:13+00:00,@Uber_Support Thanks for the refund 💖,refund_request,medium,process_refund,Customer acknowledges receipt of a refund.
57,1189505,399604,2017-10-25 05:15:23+00:00,@50832 @115873 @Uber_Support can you look into this? It’s incredibly frustrating. @50832 have confirmed the issue is not on their end.,trip_issue,medium,investigate_trip,Customer asks support to investigate an unresolved issue confirmed by another party.
61,2821974,452610,2017-11-27 07:26:46+00:00,Ive been requesting for a ride for 8 times since 2.30pm and failed every single time @108202 @Uber_Support @213343 @115873.plis help ☹️,service_availability,medium,provide_information,Customer reports repeated failures to obtain a ride.
