example_id,tweet_id,author_id,created_at,text,intent,severity,expected_action,label_notes
1,2449675,702091,2017-11-15 02:32:44+00:00,You fuckers really don’t deliver to Stead huh @115877,,,,
2,266999,179638,2017-10-05 20:46:29+00:00,I got @115877 today in the morning since it said I had free delivery and they still charged me like really .. I guess . 🙄,,,,
3,1695489,514385,2017-10-17 15:20:37+00:00,@115877 My order never showed up - driver didn't text or call or anything. Just seemed to drive down the street my office is on then away.,,,,
4,120742,142849,2017-11-23 22:56:43+00:00,Hey @Uber_Support. I need help with my account. Please DM,,,,
5,908288,335699,2017-10-13 16:20:47+00:00,@Uber_Support I cannot log into my account. I have tried resetting my password but still cannot get in. Help.,,,,
6,2241527,653546,2017-10-29 05:18:10+00:00,@115873 why i have to pay amount for the ride cancelled by driver...,,,,
7,1374188,439851,2017-10-28 00:46:16+00:00,@56924 @115873 Dudes name is George,,,,
8,2480202,410897,2017-10-29 21:25:16+00:00,@Uber_Support @Uber_Support this male has my items. Please help. https://t.co/dcx6xFU6Ek,,,,
9,2519512,212028,2017-11-16 04:19:48+00:00,@Uber_Support After spending 10 minutes on hold just to be told to email just to receive a canned response is enough for one day. I’m not in the mood for more.,,,,
10,2879016,178144,2017-11-28 07:53:50+00:00,@Uber_Support Hi Uber! Why UberX is not showing on my app? https://t.co/vwubri4HgU,,,,
11,2019772,597279,2017-11-05 00:58:23+00:00,"Not impressed with @115877 once again. Had an item messed up and their response is either auto or tells me to ""just buy another one"". Wtf😠",,,,
12,790767,308566,2017-10-08 19:19:30+00:00,@Uber_Support NOT ENOUGH! TRY AGAIN. YOUVE DONE THIS ENOUGH.,,,,
13,505961,236060,2017-12-01 20:59:41+00:00,"Yo @115873 @119720 if you tell me a driver is 7 min then I confirm and it's 24, how are you going to charge me to cancel? This is some horse shit.",,,,
14,1092392,377780,2017-10-15 10:02:45+00:00,"@Uber_Support I can't access this link to send a lost item form, to log in my acc is asking for a code being sent to the iphone i lost at the uber",,,,
15,631921,269768,2017-11-22 16:13:35+00:00,@Uber_Support Your driver came to my home &amp; then said he didn't want to take a long trip and cancelled it. Not only was I inconvenienced - you also charged me for it. You declined my inapp refund ticket. Unless you resolve this I ll ensure my family/friends dont use Uber again.,,,,
16,2082696,289666,2017-10-10 19:49:22+00:00,".@116276 Now this? “Having reviewed your concern, and your rider account, I can confirm that the refund of $10.00 for the ride pass…”",,,,
17,2444259,700852,2017-11-15 00:19:49+00:00,@Uber_Support Do you have a number we can call at all?,,,,
18,1239074,410638,2017-10-25 22:06:48+00:00,@Uber_Support DM sent.,,,,
19,1810317,543870,2017-10-18 02:08:40+00:00,When the @115873 driver you booked tries to threaten to suspend your account because you won't cancel even though she was the one who asked 😶,,,,
20,1123896,316280,2017-10-15 08:49:46+00:00,"@115877 made me wait over an hour for my food, and it never showed... driver marked it as delivered anyway smh",,,,
21,1693803,378604,2017-11-06 19:25:51+00:00,I still can't believe I got into a minor car accident with @115873 . It hella stressed me out while I was on the way to the airport,,,,
22,1567655,483760,2017-11-04 15:59:19+00:00,"@115873 shameful service, charge for a trip I didn't do nor was able to cancel.",,,,
23,2441949,696290,2017-11-16 15:37:17+00:00,@Uber_Support Check DM,,,,
24,1722944,221162,2017-11-07 14:45:03+00:00,@Uber_Support Ok but can i still drive after 8 months?,,,,
25,698095,266287,2017-10-10 18:49:42+00:00,"@115873 fix the damn app, it keeps zooming out during your precious #uberpool trips https://t.co/ryOso3wItr",,,,
26,1332899,430942,2017-10-27 13:08:55+00:00,Don’t use @115873 while visiting Disney World. Every single driver will take you the long way and to the wrong gate to ensure maximum faire.,,,,
27,345325,198171,2017-10-08 02:21:01+00:00,completely forgot about the nightmare @115873 drivers we had last night! One SO drunk we made him pull over on a busy parkway to let us out..,,,,
28,759705,301525,2017-10-07 10:09:37+00:00,"@Uber_Support @301524 He not snitchin, she a baddie",,,,
29,520843,240241,2017-12-02 03:05:59+00:00,@Uber_Support Already did. You refunded my fare but I’d like to actually speak with someone.,,,,
30,120687,142835,2017-11-23 23:27:31+00:00,@Uber_Support Ty for ur understanding 😊,,,,
31,2645681,746441,2017-11-17 20:01:56+00:00,@Uber_Support Help! I just placed my first uber eats order and it wouldn't accept my student discount code despite the printed code being valid until 31/12/17. Your system said it had expired! How can I reclaim this discount?,,,,
32,2855822,213509,2017-11-27 20:58:53+00:00,@Uber_Support i keep getting an error message when I'm trying to request an uber,,,,
33,2208028,645512,2017-11-10 01:13:14+00:00,"Engine light, tire light, gas light. @115873, your driver hit the “get out of the car” trinity. Take a bow! https://t.co/ubA0Fx2Dzi",,,,
34,1912864,569787,2017-10-29 14:00:48+00:00,@Uber_Support I did.,,,,
35,735770,296009,2017-10-29 06:23:48+00:00,@Uber_Support Rec’d email. Requested I rate/detail driver abt exp? Already did that prior to contacting you guys. Your help isn’t helpful. Disappointing!,,,,
36,507323,236451,2017-12-01 21:53:50+00:00,"@Uber_Support Sent, thank you!",,,,
37,755828,300658,2017-10-11 18:20:18+00:00,@115873 where is the driver profile picture?? How to recognise is this the professional driver or the fake? How to trust?? https://t.co/OsCmfBxh20,,,,
38,1477015,462947,2017-11-02 22:43:46+00:00,"@Uber_Support This is a link to the ""I forgot my password"" page. I completed the information tho. Is there a phone # or live chat option?",,,,
39,2513961,716346,2017-10-30 07:32:32+00:00,Why is my UberEATS verification code not in yet 😭,,,,
40,1496089,467358,2017-11-03 12:12:59+00:00,@Uber_Support I already sent a damaged report. They want to refund one item. I told them i should not pay for delivery but they don't care. Bad service,,,,
41,1863888,556894,2017-10-20 13:47:25+00:00,@Uber_Support Would do but what's important is that this should be told to every driver please.,,,,
42,1721751,144999,2017-11-07 08:12:02+00:00,@Uber_Support Thanks!,,,,
